攻角,MA,实际MA,实际转速,角速度,label
-5.0,0.8,0.80015,1767.72,0.2,1
-4.992,0.8,0.80027,1767.42,0.2,1
-4.9060000000000015,0.8,0.8002100000000001,1767.42,0.2,1
-4.8039999999999985,0.8,0.79986,1767.15,0.2,1
-4.704,0.8,0.79975,1767.04,0.2,1
-4.602,0.8,0.79988,1767.04,0.2,1
-4.502,0.8,0.80029,1767.04,0.2,1
-4.402,0.8,0.80053,1766.21,0.2,1
-4.302,0.8,0.80057,1766.21,0.2,1
-4.204,0.8,0.80071,1766.21,0.2,1
-4.106,0.8,0.80086,1764.4,0.2,1
-4.006,0.8,0.80109,1762.86,0.2,1
-3.906,0.8,0.80135,1762.48,0.2,1
-3.802,0.8,0.80155,1761.54,0.2,1
-3.7,0.8,0.80174,1759.4,0.2,1
-3.602,0.8,0.80174,1758.3,0.2,1
-3.502,0.8,0.80148,1758.3,0.2,1
-3.404,0.8,0.80137,1755.06,0.2,1
-3.304,0.8,0.8011699999999999,1754.68,0.2,1
-3.2060000000000004,0.8,0.80093,1754.68,0.2,1
-3.108,0.8,0.80069,1754.68,0.2,1
-3.008,0.8,0.8004899999999999,1754.68,0.2,1
-2.906,0.8,0.8001699999999999,1749.62,0.2,1
-2.802,0.8,0.79996,1748.25,0.2,1
-2.702,0.8,0.79972,1747.76,0.2,1
-2.5980000000000003,0.8,0.79956,1747.76,0.2,1
-2.502,0.8,0.79938,1746.88,0.2,1
-2.404,0.8,0.7992199999999999,1746.88,0.2,1
-2.302,0.8,0.79903,1746.88,0.2,1
-2.202,0.8,0.79892,1745.78,0.2,1
-2.104,0.8,0.79893,1745.61,0.2,1
-2.004,0.8,0.79906,1745.56,0.2,1
-1.902,0.8,0.79911,1745.56,0.2,1
-1.798,0.8,0.79911,1745.5,0.2,1
-1.7,0.8,0.7992,1745.5,0.2,1
-1.6,0.8,0.79933,1745.5,0.2,1
-1.504,0.8,0.7995399999999999,1745.06,0.2,1
-1.402,0.8,0.7995,1745.17,0.2,1
-1.304,0.8,0.79957,1745.17,0.2,1
-1.204,0.8,0.79964,1744.68,0.2,1
-1.1,0.8,0.7996800000000001,1744.68,0.2,1
-1.0,0.8,0.79981,1744.68,0.2,1
-0.902,0.8,0.79991,1743.14,0.2,1
-0.802,0.8,0.80002,1743.14,0.2,1
-0.698,0.8,0.80003,1742.7,0.2,1
-0.6,0.8,0.79991,1742.37,0.2,1
-0.5,0.8,0.7996800000000001,1742.37,0.2,1
-0.404,0.8,0.79956,1741.44,0.2,1
-0.304,0.8,0.7994899999999999,1741.38,0.2,1
-0.202,0.8,0.7995399999999999,1741.0,0.2,1
-0.102,0.8,0.79948,1741.0,0.2,1
0.0,0.8,0.79935,1741.27,0.2,1
0.094,0.8,0.79924,1741.27,0.2,1
0.198,0.8,0.79929,1741.6,0.2,1
0.3,0.8,0.79935,1741.93,0.2,1
0.398,0.8,0.79947,1741.99,0.2,1
0.498,0.8,0.79956,1742.21,0.2,1
0.598,0.8,0.7998,1742.48,0.2,1
0.698,0.8,0.8,1742.81,0.2,1
0.7959999999999999,0.8,0.8001199999999999,1742.81,0.2,1
0.9,0.8,0.8002600000000001,1742.81,0.2,1
0.998,0.8,0.80047,1743.47,0.2,1
1.096,0.8,0.80069,1743.47,0.2,1
1.198,0.8,0.80085,1743.47,0.2,1
1.296,0.8,0.80089,1743.31,0.2,1
1.396,0.8,0.80069,1743.53,0.2,1
1.496,0.8,0.80064,1743.53,0.2,1
1.598,0.8,0.80042,1743.53,0.2,1
1.6980000000000002,0.8,0.8003,1743.03,0.2,1
1.798,0.8,0.80015,1742.98,0.2,1
1.896,0.8,0.80009,1742.98,0.2,1
1.996,0.8,0.80005,1743.31,0.2,1
2.1,0.8,0.80002,1743.31,0.2,1
2.2,0.8,0.80015,1743.53,0.2,1
2.3040000000000003,0.8,0.80007,1743.53,0.2,1
2.402,0.8,0.80008,1743.53,0.2,1
2.496,0.8,0.79988,1744.62,0.2,1
2.6,0.8,0.79975,1744.73,0.2,1
2.696,0.8,0.7995800000000001,1744.73,0.2,1
2.802,0.8,0.7995800000000001,1746.11,0.2,1
2.898,0.8,0.79955,1746.99,0.2,1
3.004,0.8,0.79956,1746.99,0.2,1
3.1,0.8,0.79957,1748.03,0.2,1
3.2,0.8,0.79969,1749.02,0.2,1
3.298,0.8,0.79984,1749.73,0.2,1
3.404,0.8,0.79992,1749.73,0.2,1
3.5,0.8,0.80007,1751.16,0.2,1
3.6,0.8,0.8002600000000001,1751.93,0.2,1
3.7,0.8,0.80052,1751.93,0.2,1
3.8,0.8,0.8005899999999999,1752.53,0.2,1
3.902,0.8,0.8006800000000001,1752.7,0.2,1
3.998,0.8,0.80064,1752.86,0.2,1
4.098,0.8,0.8005899999999999,1752.86,0.2,1
4.1960000000000015,0.8,0.80062,1753.08,0.2,1
4.3,0.8,0.8004100000000001,1753.08,0.2,1
4.4,0.8,0.8003899999999999,1753.08,0.2,1
4.5,0.8,0.80032,1753.58,0.2,1
4.6,0.8,0.8002199999999999,1753.58,0.2,1
4.704,0.8,0.80003,1753.58,0.2,1
4.796,0.8,0.79964,1754.95,0.2,1
4.904,0.8,0.79951,1754.95,0.2,1
5.002,0.8,0.7994600000000001,1754.95,0.2,1
5.1,0.8,0.79935,1754.95,0.2,1
5.202000000000001,0.8,0.79907,1757.92,0.2,1
5.297999999999999,0.8,0.79882,1758.63,0.2,1
5.4,0.8,0.79862,1758.63,0.2,1
5.502000000000002,0.8,0.7985300000000001,1760.44,0.2,1
5.596,0.8,0.7986,1762.15,0.2,1
5.704,0.8,0.79862,1763.58,0.2,1
5.8,0.8,0.7986800000000001,1763.58,0.2,1
5.895,0.8,0.7989,1765.88,0.2,1
5.994,0.8,0.79904,1766.93,0.2,1
6.0939999999999985,0.8,0.7994899999999999,1768.41,0.2,1
6.194,0.8,0.79991,1769.23,0.2,1
6.294,0.8,0.80037,1770.06,0.2,1
6.394,0.8,0.80057,1771.32,0.2,1
6.5,0.8,0.80071,1772.25,0.2,1
6.596,0.8,0.80072,1773.08,0.2,1
6.694,0.8,0.80069,1773.41,0.2,1
6.796,0.8,0.80061,1773.41,0.2,1
6.894,0.8,0.80055,1774.4,0.2,1
6.996,0.8,0.80043,1774.78,0.2,1
7.1,0.8,0.80023,1775.28,0.2,1
7.1960000000000015,0.8,0.80024,1775.99,0.2,1
7.3,0.8,0.80014,1776.92,0.2,1
7.4,0.8,0.80006,1777.86,0.2,1
7.496,0.8,0.80024,1777.86,0.2,1
7.598,0.8,0.8002100000000001,1779.45,0.2,1
7.702000000000001,0.8,0.80003,1780.0,0.2,1
7.802,0.8,0.79999,1780.0,0.2,1
7.902,0.8,0.7999,1781.32,0.2,1
7.996,0.8,0.79966,1782.47,0.2,1
8.096,0.8,0.79984,1782.8,0.2,1
8.193999999999999,0.8,0.79988,1782.8,0.2,1
8.298,0.8,0.79994,1782.8,0.2,1
8.4,0.8,0.79992,1782.8,0.2,1
8.5,0.8,0.8001199999999999,1785.88,0.2,1
8.6,0.8,0.80025,1785.88,0.2,1
8.7,0.8,0.80037,1785.88,0.2,1
8.798,0.8,0.8002600000000001,1787.42,0.2,1
8.898,0.8,0.80013,1788.07,0.2,1
9.002,0.8,0.80013,1788.07,0.2,1
9.102,0.8,0.80028,1788.51,0.2,1
9.202,0.8,0.80032,1789.17,0.2,1
9.3,0.8,0.8001699999999999,1789.17,0.2,1
9.404,0.8,0.8002,1789.17,0.2,1
9.504,0.8,0.80002,1789.94,0.2,1
9.604,0.8,0.79983,1790.6,0.2,1
9.702,0.8,0.79999,1790.6,0.2,1
9.8,0.8,0.79973,1790.6,0.2,1
9.9,0.8,0.79973,1790.6,0.2,1
9.991,0.8,0.79969,1792.96,0.2,1
