攻角,MA,实际MA,实际转速,角速度,label
-4,0.95,0.95008,1976.78,0.2,1
-3.993,0.95,0.94985,1976.55,0.2,1
-3.91,0.95,0.94992,1976.44,0.2,1
-3.81,0.95,0.94997,1976.38,0.2,1
-3.71,0.95,0.95015,1976.38,0.2,1
-3.61,0.95,0.95052,1976.77,0.2,1
-3.508,0.95,0.95081,1976.6,0.2,1
-3.408,0.95,0.95096,1975.56,0.2,1
-3.308,0.95,0.95094,1975.56,0.2,1
-3.208,0.95,0.95113,1975.56,0.2,1
-3.11,0.95,0.95109,1975.56,0.2,1
-3.012,0.95,0.95125,1969.02,0.2,1
-2.908,0.95,0.95128,1969.02,0.2,1
-2.812,0.95,0.95111,1969.02,0.2,1
-2.712,0.95,0.95085,1969.02,0.2,1
-2.608,0.95,0.95071,1962.32,0.2,1
-2.51,0.95,0.95068,1960.78,0.2,1
-2.41,0.95,0.95051,1959.3,0.2,1
-2.308,0.95,0.95022,1959.3,0.2,1
-2.212,0.95,0.95002,1959.3,0.2,1
-2.108,0.95,0.94978,1957.54,0.2,1
-2.01,0.95,0.94976,1957.43,0.2,1
-1.91,0.95,0.94983,1957.43,0.2,1
-1.81,0.95,0.94986,1956.72,0.2,1
-1.708,0.95,0.9499,1956.72,0.2,1
-1.608,0.95,0.94998,1956.72,0.2,1
-1.51,0.95,0.95001,1956.44,0.2,1
-1.41,0.95,0.95007,1955.89,0.2,1
-1.31,0.95,0.95016,1955.89,0.2,1
-1.212,0.95,0.95026,1956.06,0.2,1
-1.11,0.95,0.95037,1956.06,0.2,1
-1.01,0.95,0.95048,1956.06,0.2,1
-0.908,0.95,0.95057,1954.19,0.2,1
-0.812,0.95,0.95051,1954.19,0.2,1
-0.71,0.95,0.95042,1954.19,0.2,1
-0.608,0.95,0.95035,1954.19,0.2,1
-0.51,0.95,0.95028,1951.55,0.2,1
-0.41,0.95,0.95027,1951.66,0.2,1
-0.308,0.95,0.95013,1951.66,0.2,1
-0.21,0.95,0.95008,1951.66,0.2,1
-0.11,0.95,0.95009,1951.39,0.2,1
-0.008,0.95,0.95005,1952.16,0.2,1
0,0.95,0.95799,1947.457,0.2,-1
0.019,0.95,0.9665,1982.09,0.2,-1
0.09,0.95,0.95012,1952.27,0.2,1
0.19,0.95,0.95022,1952.1,0.2,1
0.21,0.95,0.96559,1984.73,0.2,-1
0.29,0.95,0.95031,1952.1,0.2,1
0.39,0.95,0.95038,1953.09,0.2,1
0.49,0.95,0.9505,1953.2,0.2,1
0.59,0.95,0.95051,1953.75,0.2,1
0.663,0.95,0.96412,2003.13,0.2,-1
0.69,0.95,0.95066,1953.8,0.2,1
0.796,0.95,0.95075,1954.08,0.2,1
0.898,0.95,0.95076,1953.75,0.2,1
0.996,0.95,0.95071,1953.75,0.2,1
1.096,0.95,0.95064,1953.8,0.2,1
1.196,0.95,0.95052,1953.8,0.2,1
1.296,0.95,0.95051,1953.8,0.2,1
1.358,0.95,0.96226,2003.13,0.2,-1
1.394,0.95,0.95042,1953.8,0.2,1
1.496,0.95,0.95037,1953.09,0.2,1
1.598,0.95,0.95037,1953.36,0.2,1
1.694,0.95,0.95036,1953.53,0.2,1
1.794,0.95,0.95023,1954.9,0.2,1
1.894,0.95,0.95024,1955.23,0.2,1
1.994,0.95,0.95032,1955.23,0.2,1
2.092,0.95,0.95041,1955.23,0.2,1
2.194,0.95,0.95061,1957.37,0.2,1
2.264,0.95,0.96015,2006.48,0.2,-1
2.292,0.95,0.95078,1958.25,0.2,1
2.396,0.95,0.95092,1958.25,0.2,1
2.494,0.95,0.95089,1958.25,0.2,1
2.592,0.95,0.9509,1958.25,0.2,1
2.694,0.95,0.9509,1961.05,0.2,1
2.788,0.95,0.95093,1961.05,0.2,1
2.892,0.95,0.95101,1961.88,0.2,1
2.992,0.95,0.95097,1963.25,0.2,1
3.092,0.95,0.95094,1963.47,0.2,1
3.186,0.95,0.951,1963.47,0.2,1
3.284,0.95,0.95811,2022.03,0.2,-1
3.288,0.95,0.95092,1963.47,0.2,1
3.388,0.95,0.95083,1965.01,0.2,1
3.49,0.95,0.95064,1965.72,0.2,1
3.592,0.95,0.95053,1966.38,0.2,1
